filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_21268_ch_330_strand.fast5	ffffc1b0-f135-4bd3-bf4d-30e0daa73d56	13797ccf3e2df77597eb86d8e23088d7f34ba047	330	13423.423828	3.549	2839	True	13423.510741999999	2770	3.46275	1352	10.622834	-0.001829	96.628525	10.057991000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_84875_ch_51_strand.fast5	ffff6111-d6ea-4d60-af53-20d527472563	13797ccf3e2df77597eb86d8e23088d7f34ba047	51	53657.769531	5.54175	4433	True	53657.851562	4367	5.45925	2028	8.707732	-0.0014990000000000001	89.623856	9.87838
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_8556_ch_490_strand.fast5	ffff3e2a-5a1b-4981-9910-877f6b3be868	13797ccf3e2df77597eb86d8e23088d7f34ba047	490	5756.578125	2.38725	1909	True	5756.679199	1828	2.286	836	7.894119	-0.001484	85.133682	11.135628
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_1126_ch_247_strand.fast5	ffff3335-2d74-45ad-9525-0026d1cb6b4a	13797ccf3e2df77597eb86d8e23088d7f34ba047	247	772.6537480000001	1.59725	1277	True	772.868774	1105	1.38225	564	9.092315	-0.001415	90.7015	9.519165
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_51685_ch_35_strand.fast5	ffff0835-98b8-4d2c-bb38-c6cec5e0cd52	13797ccf3e2df77597eb86d8e23088d7f34ba047	35	37318.21875	1.093	874	True	37318.28125	827	1.03425	348	10.545194	-0.0009939999999999999	92.677177	10.956024000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_35432_ch_153_strand.fast5	fffeec7d-6efc-4fe7-a7be-b23abd9e9c2c	13797ccf3e2df77597eb86d8e23088d7f34ba047	153	22793.990234	6.825	5460	True	22794.496094	5056	6.32	2653	9.011272	-0.0019329999999999998	104.351624	10.956024000000001
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_173135_ch_425_strand.fast5	fffedad4-c2b7-4334-ba07-457fbfee3695	13797ccf3e2df77597eb86d8e23088d7f34ba047	425	146975.546875	1.62025	1296	True	146975.65625	1216	1.52025	588	10.18217	-0.002257	107.225334	10.417206
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_94_ch_458_strand.fast5	fffec052-09dc-4217-8093-94f2d3175025	13797ccf3e2df77597eb86d8e23088d7f34ba047	458	110.095497	8.654	6923	True	110.521751	6582	8.22775	3327	10.860653999999998	-0.001282	92.677177	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_42339_ch_490_strand.fast5	fffeb1a1-5fe1-4e79-a090-2320e9d5039d	13797ccf3e2df77597eb86d8e23088d7f34ba047	490	28909.449219	3.20675	2565	True	28909.449219	2565	3.20675	1032	8.202024	-0.0024059999999999997	90.521889	9.878387
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_82961_ch_33_strand.fast5	fffe8e54-0ac2-48f1-bd9a-926f16547fea	13797ccf3e2df77597eb86d8e23088d7f34ba047	33	55691.55078099999	2.78325	2226	True	55691.59375	2195	2.7445	1088	8.328049	-0.002298	98.783813	10.237594999999999
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_109849_ch_470_strand.fast5	fffe8320-af55-467e-89ad-9546cb8f86dc	13797ccf3e2df77597eb86d8e23088d7f34ba047	470	61189.046875	2.629	2103	True	61189.117188	2046	2.55775	1001	11.22842	-0.002042	99.322632	10.417206
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_197165_ch_301_strand.fast5	fffe50d5-1403-4f67-9634-b5a2dbf93c5b	13797ccf3e2df77597eb86d8e23088d7f34ba047	301	127301.14843800002	2.33775	1870	True	127301.17968800002	1845	2.3065	909	8.269035	-0.001261	97.167351	10.057983
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_78254_ch_236_strand.fast5	fffe4ae5-7773-4601-8235-f3c116338604	13797ccf3e2df77597eb86d8e23088d7f34ba047	236	47549.089844	7.6055	6084	True	47549.152344	6032	7.5405	2509	10.891796000000001	-0.001667	92.497566	10.596809
minion2_PC_20180219_FAH55989_MN19166_sequencing_run_madagascar_tb_mdr_1_10344_read_140020_ch_236_strand.fast5	fffe3e23-0f6c-4ba9-bf6c-ce6a1576dd21	13797ccf3e2df77597eb86d8e23088d7f34ba047	236	89146.828125	2.1165	1693	True	89147.046875	1520	1.90025	747	9.418436	-0.002694	77.949409	10.057983
