filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	calibration_strand_genome	calibration_strand_genome_start	calibration_strand_genome_end	calibration_strand_strand_start	calibration_strand_strand_end	calibration_strand_num_insertions	calibration_strand_num_deletions	calibration_strand_num_aligned	calibration_strand_num_correct	calibration_strand_identity	calibration_strand_accuracy	calibration_strand_score
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	1ddcb3e0-8085-4d0b-a175-0cfc36bbf8d2	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2602	2	659.2957759999999	17.598249	35196	True	659.599243	34589	17.29475	6635	9.817803999999999	0.0	80.41387900000001	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	27dc5fc8-f615-4cef-8444-c54c2c244a34	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	1466	1	646.721985	29.11025	58220	True	646.721985	58220	29.11025	11096	9.417303	0.0	127.931175	8.772424	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	c75ee2fc-1c25-43e0-98aa-32dc8d34e26a	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2147	4	649.935242	7.448	14896	True	650.164246	14438	7.219	3085	9.803113	0.0	81.87595400000001	9.503459	*	-1	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	c0ca86b1-1cd8-41e2-b78e-cf5625c08d9f	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2474	1	647.773499	6.349	12698	True	648.078979	12087	6.0435	2501	7.867424000000001	0.0	127.56565900000001	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	4de591d4-f9da-4fb9-839e-90564117e1e6	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2293	3	640.374512	2.30825	4616	True	640.564026	4237	2.11875	883	8.697488	0.0	129.39325	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	5f854cf9-0097-4bcf-9e36-ffa14a1fbe7f	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2822	4	648.942505	13.17575	26351	True	649.268005	25700	12.85025	4703	10.397411	0.0	82.24146999999999	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	60aca4b0-8cdb-41c9-bfd5-fccfbbbdef25	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	398	3	670.344971	1.50975	3019	True	670.520996	2667	1.33375	614	7.7889	0.0	104.90356399999999	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	adbbc12d-fc88-4b65-bc05-9141481bcac3	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2926	1	611.10675	24.575251	49150	True	611.1072389999999	49149	24.574751000000003	9555	10.785666	0.0	119.88978600000002	9.137941	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	115833b8-7354-461f-b84a-8ca83d11fda1	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	454	4	646.682739	6.31875	12637	True	646.893738	12215	6.10775	2921	9.631789	0.0	76.027672	9.868977000000001	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
pass_PAD73195_86b15e57ca99113b4bb75b4ad1e8da937dde06d9_9.fast5	838f6c8e-4b5b-4023-82fc-6c063b20ac4a	86b15e57ca99113b4bb75b4ad1e8da937dde06d9	0	2464	4	659.338501	22.95575	45911	True	659.794983	44998	22.49925	9361	9.292126	0.0	83.33802	9.503459	wrong_length	0	-1	-1	-1	-1	-1	-1	-1	-1.0	-1.0	-1
